file,latin,name,grade,flags,source_count,source_domains,source_tiers,urls
abutilon_pictum.json,Abutilon pictum,Painted abutilon (flowering maple),A,,5,hort.extension.wisc.edu;whiteflowerfarm.com;gardeningknowhow.com;thespruce.com;wildflower.org,A_preferred;C_blog_commercial;C_blog_commercial;C_blog_commercial;B_credible,https://hort.extension.wisc.edu/articles/flowering-maple-abutilon-spp/;https://www.whiteflowerfarm.com/how-to-grow-abutilon-houseplants;https://www.gardeningknowhow.com/houseplants/flowering-maple/growing-flowering-maple.htm;https://www.thespruce.com/how-to-care-for-abutilon-plants-3976754;https://www.wildflower.org/expert/show.php?id=12501
acalypha_hispida.json,Acalypha hispida,Chenille plant,B,,4,thespruce.com;gardenia.net;harvesttotable.com;poisonsinfo.health.qld.gov.au,C_blog_commercial;C_blog_commercial;C_blog_commercial;B_credible,https://www.thespruce.com/chenille-plant-1315697;https://www.gardenia.net/plant/acalypha-hispida;https://harvesttotable.com/how-to-grow-chenille-plant-acalypha/;https://www.poisonsinfo.health.qld.gov.au/plants-and-mushrooms/chenille-plant-acalypha-hispida
acalypha_wilkesiana.json,Acalypha wilkesiana,Copperleaf,A,,2,rhs.org.uk;gardenia.net,A_preferred;C_blog_commercial,https://www.rhs.org.uk/plants/acyclpha-wilkesiana;https://www.gardenia.net/plant/acalypha-wilkesiana
achillea_millefolium.json,Achillea millefolium,Yarrow,A,,2,rhs.org.uk;gardenia.net,A_preferred;C_blog_commercial,https://www.rhs.org.uk/plants/achillea-millefolium;https://www.gardenia.net/plant/achillea-millefolium-yarrow
achimenes_longiflora.json,Achimenes longiflora,Magic flower,A,,5,gardeningknowhow.com;harvesttotable.com;guide-to-houseplants.com;easytogrowbulbs.com;missouribotanicalgarden.org,C_blog_commercial;C_blog_commercial;C_blog_commercial;C_blog_commercial;A_preferred,https://www.gardeningknowhow.com/ornamental/flowers/achimenes/grow-achimenes-magic-flowers.htm;https://harvesttotable.com/how-to-grow-achimenes/;https://www.guide-to-houseplants.com/achimenes.html;https://www.easytogrowbulbs.com/pages/achimenes-planting-guide;https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderListResults.aspx?bt=9
adansonia_digitata.json,Adansonia digitata,African baobab,A,,6,missouribotanicalgarden.org;powo.science.kew.org;cabidigitallibrary.org;apps.worldagroforestry.org;kew.org;baobabfoundation.co.za,A_preferred;A_preferred;B_credible;B_credible;A_preferred;C_blog_commercial,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?basic=baobab&isprofile=1&taxonid=277943;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:558628-1;https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.3187;https://apps.worldagroforestry.org/treedb/AFTPDFS/Adansonia_digitata.PDF;https://www.kew.org/read-and-watch/extreme-plant-survivors-baobab;https://baobabfoundation.co.za/grow-your-own-baobab/
adelonema_wallisii.json,Adelonema wallisii,Wallis' Adelonema,A,,2,rhs.org.uk;bhg.com,A_preferred;C_blog_commercial,https://www.rhs.org.uk/advice/profile?pid=879;https://www.bhg.com/gardening/pests-insects-diseases/indoor-plants-advice/
adenium_obesum.json,Adenium obesum,Desert rose,A,,3,missouribotanicalgarden.org;rhs.org.uk;pmc.ncbi.nlm.nih.gov,A_preferred;A_preferred;B_credible,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276116;https://www.rhs.org.uk/plants/426/adenium-obesum/details;https://pmc.ncbi.nlm.nih.gov/articles/PMC10220692/
adiantum_aethiopicum.json,Adiantum aethiopicum,Common maidenhair fern,A,,6,plants.ces.ncsu.edu;thespruce.com;bunnings.com.au;powo.science.kew.org;cats.org.uk;rhs.org.uk,A_preferred;C_blog_commercial;C_blog_commercial;A_preferred;B_credible;A_preferred,https://plants.ces.ncsu.edu/plants/adiantum-aethiopicum/;https://www.thespruce.com/grow-adiantum-ferns-1902722;https://www.bunnings.com.au/diy-advice/garden/planting-and-growing/how-to-grow-and-care-for-maidenhair-ferns;https://powo.science.kew.org/taxon/17008760-1;https://www.cats.org.uk/media/gb1jkhcr/cats_protection-safe-plants-guide.pdf;https://www.rhs.org.uk/plants/439/adiantum-aethiopicum/details
adiantum_capillus-veneris.json,Adiantum capillus-veneris,Maidenhair fern,A,,4,rhs.org.uk;missouribotanicalgarden.org;thespruce.com;vpisglobal.com,A_preferred;A_preferred;C_blog_commercial;C_blog_commercial,https://www.rhs.org.uk/plants/23998/adiantum-capillus-veneris/details;https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c345;https://www.thespruce.com/grow-adiantum-ferns-1902722;https://www.vpisglobal.com/wp-content/uploads/2023/08/Pet-safe-plants-v2-with-logo.pdf
